row_index,beta,finders_share,r,patch_scale,sigma,q,c,v,C_birth,mean_lambda,scrounge_rate,network_mean_degree,network_lcc_fraction,mean_fish_density,fleet_size,wealth_gini
0.0,2.0,0.6000000000000001,0.2166666666666666,0.2166666666666666,0.1,0.05,0.3,3.0,2.0,0.0,0.0,0.0,0.0,0.6432119937369848,0.0,0.0
1.0,2.0,0.6000000000000001,0.2166666666666666,0.2166666666666666,0.1,0.05,0.1,3.0,2.0,0.0,0.0,0.0,0.0,0.5715026139921228,0.0,0.0
2.0,2.0,0.6000000000000001,0.2166666666666666,0.05,0.1,0.05,0.1,3.0,2.0,0.0,0.0,0.0,0.0,0.1749394310604466,0.0,0.0
3.0,2.0,0.6000000000000001,0.2166666666666666,0.05,0.7,0.05,0.1,3.0,2.0,0.0,0.0,0.0,0.0,0.1673235636546779,0.0,0.0
4.0,2.0,0.6000000000000001,0.2166666666666666,0.05,0.7,0.05,0.1,3.0,5.0,0.0,0.0,0.0,0.0,0.1696899676762535,0.0,0.0
5.0,5.0,0.6000000000000001,0.2166666666666666,0.05,0.7,0.05,0.1,3.0,5.0,0.0,0.0,0.0,0.0,0.1676917801799687,0.0,0.0
6.0,5.0,0.2,0.2166666666666666,0.05,0.7,0.05,0.1,3.0,5.0,0.0,0.0,0.0,0.0,0.1801929341097291,0.0,0.0
7.0,5.0,0.2,0.2166666666666666,0.05,0.7,0.6833333333333333,0.1,3.0,5.0,3.984880211915483,0.4117237223689764,2.118628669745695,0.2778579650780337,0.1085447161863966,90.36,0.2494821311464326
8.0,5.0,0.2,0.2166666666666666,0.05,0.7,0.6833333333333333,0.1,8.0,5.0,3.720081967343461,0.4728370905430295,5.697314731277878,0.9502134354179912,0.1203470588183642,64.17999999999999,0.2833807320179035
9.0,5.0,0.2,0.05,0.05,0.7,0.6833333333333333,0.1,8.0,5.0,3.983120021522879,0.4000546603902372,1.6889690391948031,0.5034235669424726,0.1109775170997482,19.23333333333333,0.2793237113026872
10.0,3.5,0.2,0.3,0.3,0.4,0.6833333333333333,0.3,6.0,3.5,3.099855048953541,0.4806788821128615,10.403881055190292,0.99840974440769,0.3703376347081105,283.56,0.2539073860320821
11.0,3.5,0.2,0.3,0.3,0.4,0.6833333333333333,0.3,6.0,0.5,3.429679985162033,0.4339818224386695,15.623421344568142,0.9996337889114578,0.3352990077571756,407.4066666666666,0.2554841821304009
12.0,3.5,0.2,0.3,0.3,0.4,0.6833333333333333,0.3,1.0,0.5,4.589035789821819,0.3289887345194276,1.3258989005504906,0.0371689207432778,0.116653776776428,602.7866666666666,0.2743463770121008
13.0,3.5,0.2,0.3,0.3,1.0,0.6833333333333333,0.3,1.0,0.5,4.540195843075544,0.3137756301172675,1.211948032086985,0.0336302350360019,0.1193035446129029,569.9399999999999,0.2637161249492905
14.0,0.5,0.2,0.3,0.3,1.0,0.6833333333333333,0.3,1.0,0.5,3.895290184270456,0.1857227937319308,0.707363152727587,0.038933223483947,0.4319271925750514,252.46666666666667,0.2559487749724997
15.0,0.5,0.2,0.3,0.3,1.0,0.05,0.3,1.0,0.5,0.0,0.0,0.0,0.0,0.7304844812715213,0.0,0.0
16.0,0.5,0.2,0.1333333333333333,0.3,1.0,0.05,0.3,1.0,0.5,0.0,0.0,0.0,0.0,0.7807381776419514,0.0,0.0
17.0,0.5,0.6000000000000001,0.1333333333333333,0.3,1.0,0.05,0.3,1.0,0.5,0.0,0.0,0.0,0.0,0.7896752381921771,0.0,0.0
18.0,0.5,0.6000000000000001,0.1333333333333333,0.3,1.0,0.05,0.1,1.0,0.5,0.0,0.0,0.0,0.0,0.7330970778008985,0.0,0.0
19.0,0.5,0.6000000000000001,0.1333333333333333,0.1333333333333333,1.0,0.05,0.1,1.0,0.5,0.0,0.0,0.0,0.0,0.4438029211825238,0.0,0.0
20.0,3.5,0.2,0.2166666666666666,0.3,0.7,1.0,0.0,6.0,3.5,1.7930187926052936,0.1343644133644133,0.4549330854330853,0.4510607910607911,0.0013506165810117,3.293333333333333,0.0717327118888103
21.0,3.5,0.2,0.2166666666666666,0.3,0.7,1.0,0.1999999999999999,6.0,3.5,0.8333333333333334,0.0,0.0,0.1666666666666666,0.0062383404864826,0.1666666666666666,0.0
22.0,3.5,0.2,0.2166666666666666,0.1333333333333333,0.7,1.0,0.1999999999999999,6.0,3.5,0.0,0.0,0.0,0.0,0.053190730495349,0.0,0.0
23.0,3.5,0.2,0.2166666666666666,0.1333333333333333,0.1,1.0,0.1999999999999999,6.0,3.5,0.176840919019963,0.0,0.0,0.0466666666666666,0.0515360458511507,0.04,0.0
24.0,3.5,0.2,0.2166666666666666,0.1333333333333333,0.1,1.0,0.1999999999999999,1.0,3.5,0.0,0.0,0.0,0.0,0.0263154751514375,0.0,0.0
25.0,3.5,0.2,0.05,0.1333333333333333,0.1,1.0,0.1999999999999999,1.0,3.5,0.0,0.0,0.0,0.0,0.0247277113778543,0.0,0.0
26.0,3.5,0.2,0.05,0.1333333333333333,0.1,0.3666666666666667,0.1999999999999999,1.0,3.5,4.261075192723896,0.0921295211988898,0.2194690784269413,0.0629864078950082,0.2453370592726287,53.02,0.2489805153420328
27.0,3.5,0.2,0.05,0.1333333333333333,0.1,0.3666666666666667,0.1999999999999999,1.0,0.5,4.7012539437861305,0.1343574316644352,0.3813457543831103,0.1019286104162593,0.2603078765251829,46.39333333333334,0.2068391990957126
28.0,0.5,0.2,0.05,0.1333333333333333,0.1,0.3666666666666667,0.1999999999999999,1.0,0.5,1.7388343356799254,0.0404438844437296,0.0966346915300341,0.0977963728653054,0.3634399264348464,5.126666666666666,0.1611131192250657
29.0,0.5,0.6000000000000001,0.05,0.1333333333333333,0.1,0.3666666666666667,0.1999999999999999,1.0,0.5,1.49271953129283,0.005,0.0177777777777777,0.1602301587301587,0.3851689746723212,0.94,0.0711751095351923
30.0,3.5,0.8,0.1333333333333333,0.05,0.1,0.3666666666666667,0.0,3.0,0.5,3.176239048247903,0.4182941797239732,5.651682492521778,0.8672865751586251,0.0649759954348245,422.04,0.2693213919836845
31.0,3.5,0.8,0.1333333333333333,0.05,0.1,0.3666666666666667,0.0,8.0,0.5,3.674530189803329,0.4117663722094081,26.93164080840676,0.994324850159112,0.0854478957639193,266.8933333333334,0.2631350777248413
32.0,0.5,0.8,0.1333333333333333,0.05,0.1,0.3666666666666667,0.0,8.0,0.5,2.70200238381804,0.4730586213670369,20.624382978113733,0.9558923212721294,0.1226633270449531,121.45333333333332,0.2717236977820719
33.0,0.5,0.8,0.1333333333333333,0.05,0.1,0.3666666666666667,0.1999999999999999,8.0,0.5,0.0,0.0,0.0,0.0,0.1704931577344064,0.0,0.0
34.0,0.5,0.4,0.1333333333333333,0.05,0.1,0.3666666666666667,0.1999999999999999,8.0,0.5,0.0,0.0,0.0,0.0,0.1691936379213742,0.0,0.0
