row_index,C_birth,c,v,r,beta,mean_lambda,scrounge_rate,network_mean_degree,network_lcc_fraction,mean_fish_density,fleet_size,wealth_gini
0.0,2.4502979926764965,0.0530826369300484,4.0,0.1444931975100189,2.2313634254969656,4.149926389502547,0.371318458087219,4.780490502177742,0.6332647135738584,0.2222228287050167,126.93333333333334,0.2384361658298927
1.0,3.676535915583372,0.0530826369300484,4.0,0.1444931975100189,2.2313634254969656,3.8859744556100337,0.3789746078564009,5.143806433246357,0.7600086141333143,0.2228404793908499,133.58,0.2409689599480589
2.0,2.4502979926764965,0.0973407880403101,4.0,0.1444931975100189,2.2313634254969656,4.4533246477105175,0.3490798778143989,3.875781971059633,0.6954802226639041,0.277036871217053,128.84,0.244606249531667
3.0,2.4502979926764965,0.0530826369300484,2.0,0.1444931975100189,2.2313634254969656,3.916202480643495,0.3464204290376571,1.8445658551563189,0.2436686594979265,0.197176617598292,198.91333333333333,0.2459576741720181
4.0,2.4502979926764965,0.0530826369300484,4.0,0.2043101479765027,2.2313634254969656,4.137278872602537,0.3758223960054396,7.142705050371764,0.8565316575963683,0.2396100055968599,238.76666666666668,0.2415299250974725
5.0,2.4502979926764965,0.0530826369300484,4.0,0.1444931975100189,0.854178324341774,3.944855845060352,0.4277907084983079,4.347557028962112,0.5578509084686631,0.259972027581106,113.50666666666666,0.2577168139422499
6.0,3.676535915583372,0.0973407880403101,2.0,0.2043101479765027,0.854178324341774,3.589455848644017,0.3282985590657904,1.4244218495151806,0.1982338083808883,0.2777357881537404,108.78666666666668,0.2369639540063789
7.0,3.882813774049282,0.2387558486312627,2.0,0.1822506603319197,4.848222165368497,3.718748861178234,0.3498796255001132,2.636157805031956,0.4840850234118934,0.2733450625008619,147.73333333333335,0.176654059002262
8.0,1.923921760171652,0.2387558486312627,2.0,0.1822506603319197,4.848222165368497,3.679684193473165,0.3689400975586596,2.6220014018793907,0.4549876265665127,0.2490816405961144,148.86666666666667,0.2350240037932005
9.0,3.882813774049282,0.2714711459353566,2.0,0.1822506603319197,4.848222165368497,3.6341675946154353,0.3350967940592038,2.042137005879955,0.4913979952354341,0.2973884526628209,85.8,0.1693537005303923
10.0,3.882813774049282,0.2387558486312627,4.0,0.1822506603319197,4.848222165368497,3.5520518267018537,0.3481859621748044,5.640791498871907,0.7936202553076872,0.2555014556823041,69.11333333333333,0.168580034573381
11.0,3.882813774049282,0.2387558486312627,2.0,0.0557201834861189,4.848222165368497,3.709975195597595,0.2408815326094128,0.8545829012697791,0.213311709569015,0.261111147253593,42.22666666666667,0.2005899639265942
12.0,3.882813774049282,0.2387558486312627,2.0,0.1822506603319197,3.628390377387405,4.077358614192664,0.321299624349095,2.128855417933077,0.4979729750005834,0.2696205711120541,74.54,0.1630030248817769
13.0,1.923921760171652,0.2714711459353566,4.0,0.0557201834861189,3.628390377387405,4.13716754287896,0.3709523075372454,1.7983209702204317,0.4266515191092841,0.2635150293718754,29.726666666666663,0.2265892293613557
14.0,4.660576276481152,0.1216218237765133,4.0,0.072931897547096,2.77251039724797,4.0601516604318375,0.3343753675876766,2.0615739269973745,0.4627689201536203,0.2724462758232471,55.30666666666667,0.1949146358490936
15.0,2.647897567600012,0.1216218237765133,4.0,0.072931897547096,2.77251039724797,4.307072973075139,0.328822697461731,2.1359905122204794,0.5190162964793585,0.2556711288053854,52.15333333333333,0.2293726439030202
16.0,4.660576276481152,0.0728670123964548,4.0,0.072931897547096,2.77251039724797,3.817685844950325,0.3354603835496346,2.0942053317912213,0.3943060823902913,0.2378857019881002,68.26,0.2327603392559873
17.0,4.660576276481152,0.1216218237765133,5.0,0.072931897547096,2.77251039724797,3.9998946351440186,0.332736441997496,2.657540862440523,0.6400162982171259,0.2800116226439093,44.84666666666666,0.2071691788095841
18.0,4.660576276481152,0.1216218237765133,4.0,0.1182418679352849,2.77251039724797,4.11263049868639,0.3312579844154315,2.6810872020953447,0.5679463104251096,0.2574946137046852,57.653333333333336,0.197590118974456
19.0,4.660576276481152,0.1216218237765133,4.0,0.072931897547096,4.829667506739497,4.133089286651194,0.334497750423439,3.104740399173321,0.6593906436907327,0.2285679952682165,106.54666666666668,0.1762618048643415
20.0,2.647897567600012,0.0728670123964548,5.0,0.1182418679352849,4.829667506739497,4.262279137784238,0.3218921296897452,7.213840316698054,0.9395209643525186,0.1966664154681068,180.10666666666668,0.2430282083809025
21.0,1.2201715223491192,0.1514357990585267,2.0,0.2851877861656248,0.8584657893516123,4.135873186433263,0.2911827517615978,1.198129076094505,0.2808144260266907,0.273113112954013,45.6,0.2440085094640909
22.0,4.892269771546125,0.1514357990585267,2.0,0.2851877861656248,0.8584657893516123,2.4018745515463755,0.1385956277959646,0.403731543709454,0.2997164156271139,0.2952022694580333,15.466666666666669,0.1104021094405471
